date,calls
2017-08-05,9672
2017-08-06,6654
2017-08-07,9174
2017-08-08,9186
2017-08-09,8712
2017-08-10,8016
2017-08-11,9426
2017-08-12,7548
2017-08-13,6408
2017-08-14,9360
2017-08-15,8844
2017-08-16,9114
2017-08-17,9006
2017-08-18,8796
2017-08-19,8748
2017-08-20,8406
2017-08-21,8316
2017-08-22,8556
2017-08-23,7602
2017-08-24,9156
2017-08-25,7092
2017-08-26,8880
2017-08-27,7386
2017-08-28,7566
2017-08-29,9546
2017-08-30,6924
2017-08-31,7710
2017-09-01,9210
2017-09-02,8922
2017-09-03,9228
2017-09-04,8178
2017-09-05,8280
2017-09-06,8010
2017-09-07,7338
2017-09-08,6978
2017-09-09,7584
2017-09-10,8586
2017-09-11,8070
2017-09-12,8076
2017-09-13,9654
2017-09-14,6666
2017-09-15,8604
2017-09-16,8964
2017-09-17,6168
2017-09-18,8946
2017-09-19,7224
2017-09-20,8064
2017-09-21,8514
2017-09-22,7794
2017-09-23,8922
2017-09-24,6768
2017-09-25,7116
2017-09-26,8670
2017-09-27,7836
2017-09-28,6690
2017-09-29,8808
2017-09-30,8304
2017-10-01,9414
2017-10-02,8484
2017-10-03,8664
2017-10-04,8820
2017-10-05,9852
2017-10-06,8232
2017-10-07,6426
2017-10-08,7014
2017-10-09,9564
2017-10-10,8670
2017-10-11,7854
2017-10-12,7050
2017-10-13,6468
2017-10-14,6972
2017-10-15,7908
2017-10-16,9054
2017-10-17,7728
2017-10-18,7518
2017-10-19,8472
2017-10-20,7434
2017-10-21,6966
2017-10-22,7062
2017-10-23,7596
2017-10-24,8346
2017-10-25,7608
2017-10-26,7854
2017-10-27,8502
2017-10-28,6462
2017-10-29,7764
2017-10-30,9258
2017-10-31,7200
2017-11-01,9930
2017-11-02,8766
2017-11-03,9468
2017-11-04,7650
2017-11-05,7086
2017-11-06,7494
2017-11-07,7638
2017-11-08,7128
2017-11-09,6360
2017-11-10,6930
2017-11-11,7170
2017-11-12,6360
2017-11-13,8610
2017-11-14,8322
2017-11-15,7206
2017-11-16,7182
2017-11-17,6870
2017-11-18,6294
2017-11-19,5724
2017-11-20,6126
2017-11-21,7740
2017-11-22,7674
2017-11-23,6048
2017-11-24,6402
2017-11-25,6444
2017-11-26,5532
2017-11-27,6042
2017-11-28,7632
2017-11-29,6150
2017-11-30,7620
2017-12-01,8082
2017-12-02,6030
2017-12-03,6312
2017-12-04,7158
2017-12-05,8406
2017-12-06,7644
2017-12-07,6954
2017-12-08,6714
2017-12-09,7338
2017-12-10,6390
2017-12-11,6162
2017-12-12,7602
2017-12-13,6450
2017-12-14,6480
2017-12-15,5556
2017-12-16,7620
2017-12-17,5364
2017-12-18,6096
2017-12-19,5988
2017-12-20,6714
2017-12-21,7800
2017-12-22,7062
2017-12-23,7152
2017-12-24,4854
2017-12-25,7692
